service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
-999,1,1,1,1,1,1,1,20250421,20250622
1,1,1,1,1,1,0,0,20250421,20250622
101,0,0,0,0,0,0,0,20250421,20250622
1101,0,0,0,0,0,0,0,20250421,20250622
1201,0,0,0,0,0,0,0,20250421,20250622
152201,0,0,0,0,0,0,0,20250421,20250622
152301,0,0,0,0,0,0,0,20250421,20250622
154901,0,0,0,0,0,0,0,20250421,20250622
155601,0,0,0,0,0,0,0,20250421,20250622
162503,0,0,0,0,0,0,0,20250421,20250622
162601,0,0,0,0,0,0,0,20250421,20250622
169801,0,0,0,0,0,0,0,20250421,20250622
1803,0,0,0,0,0,0,0,20250421,20250622
1901,0,0,0,0,0,0,0,20250421,20250622
2,0,0,0,0,0,1,0,20250421,20250622
2001,0,0,0,0,0,0,0,20250421,20250622
201,0,0,0,0,0,0,0,20250421,20250622
253403,0,0,0,0,0,0,0,20250421,20250622
259801,0,0,0,0,0,0,0,20250421,20250622
259802,0,0,0,0,0,0,0,20250421,20250622
259803,0,0,0,0,0,0,0,20250421,20250622
3,0,0,0,0,0,0,1,20250421,20250622
32603,0,0,0,0,0,0,0,20250421,20250622
401,0,0,0,0,0,0,0,20250421,20250622
4901,0,0,0,0,0,0,0,20250421,20250622
4902,0,0,0,0,0,0,0,20250421,20250622
4903,0,0,0,0,0,0,0,20250421,20250622
62101,0,0,0,0,0,0,0,20250421,20250622
62201,0,0,0,0,0,0,0,20250421,20250622
701,0,0,0,0,0,0,0,20250421,20250622
75301,0,0,0,0,0,0,0,20250421,20250622
75401,0,0,0,0,0,0,0,20250421,20250622
801,0,0,0,0,0,0,0,20250421,20250622
